risk_id,project_id,category,description,probability,impact_days_p50,impact_days_p90,impact_cost_$,affected_milestone_id,response,owner,notes
RK_WIND-TALL-DEM02_policy_wildlife l,WIND-TALL-DEM02,policy,wildlife litigation,0.2,90,180,1000000,MS_WIND-TALL-DEM02_interconnection,mitigate,PMO,EAs/EIS challenges
RK_WIND-TALL-DEM02_paperwork_cluster re,WIND-TALL-DEM02,paperwork,cluster restudies,0.3,120,240,750000,MS_WIND-TALL-DEM02_interconnection,accept,PMO,Queue reforms timing
RK_tall_wind_demo_materials_WTG logist,tall_wind_demo,materials,WTG logistics,0.3,60,150,2000000,MS_tall_wind_demo_procurement,mitigate,PMO,Port/transport constraints
RK_tall_wind_demo_policy_wildlife l,tall_wind_demo,policy,wildlife litigation,0.2,90,180,1000000,MS_tall_wind_demo_interconnection,mitigate,PMO,EAs/EIS challenges
RK_tall_wind_demo_paperwork_cluster re,tall_wind_demo,paperwork,cluster restudies,0.3,120,240,750000,MS_tall_wind_demo_interconnection,accept,PMO,Queue reforms timing
RK_ppa_harris2_cc_materials_GSU transf,ppa_harris2_cc,materials,GSU transformer delays,0.35,120,240,5000000,MS_ppa_harris2_cc_procurement,mitigate,PMO,Long global lead times
RK_ppa_harris2_cc_policy_air permit,ppa_harris2_cc,policy,air permit appeal,0.15,60,120,1000000,MS_ppa_harris2_cc_interconnection,mitigate,PMO,Third-party appeal risk
RK_ppa_harris2_cc_paperwork_interconne,ppa_harris2_cc,paperwork,interconnection study rework,0.25,90,180,500000,MS_ppa_harris2_cc_interconnection,accept,PMO,Cluster restudies
RK_ppa_wansley7_materials_GSU transf,ppa_wansley7,materials,GSU transformer delays,0.35,120,240,5000000,MS_ppa_wansley7_procurement,mitigate,PMO,Long global lead times
RK_ppa_wansley7_policy_air permit,ppa_wansley7,policy,air permit appeal,0.15,60,120,1000000,MS_ppa_wansley7_interconnection,mitigate,PMO,Third-party appeal risk
RK_ppa_wansley7_paperwork_interconne,ppa_wansley7,paperwork,interconnection study rework,0.25,90,180,500000,MS_ppa_wansley7_interconnection,accept,PMO,Cluster restudies
RK_ppa_dahlberg_1_3_5_materials_GSU transf,ppa_dahlberg_1_3_5,materials,GSU transformer delays,0.35,120,240,5000000,MS_ppa_dahlberg_1_3_5_procurement,mitigate,PMO,Long global lead times
RK_ppa_dahlberg_1_3_5_policy_air permit,ppa_dahlberg_1_3_5,policy,air permit appeal,0.15,60,120,1000000,MS_ppa_dahlberg_1_3_5_interconnection,mitigate,PMO,Third-party appeal risk
RK_ppa_dahlberg_1_3_5_paperwork_interconne,ppa_dahlberg_1_3_5,paperwork,interconnection study rework,0.25,90,180,500000,MS_ppa_dahlberg_1_3_5_interconnection,accept,PMO,Cluster restudies
RK_ppa_dahlberg_2_6_materials_GSU transf,ppa_dahlberg_2_6,materials,GSU transformer delays,0.35,120,240,5000000,MS_ppa_dahlberg_2_6_procurement,mitigate,PMO,Long global lead times
RK_ppa_dahlberg_2_6_policy_air permit,ppa_dahlberg_2_6,policy,air permit appeal,0.15,60,120,1000000,MS_ppa_dahlberg_2_6_interconnection,mitigate,PMO,Third-party appeal risk
RK_ppa_dahlberg_2_6_paperwork_interconne,ppa_dahlberg_2_6,paperwork,interconnection study rework,0.25,90,180,500000,MS_ppa_dahlberg_2_6_interconnection,accept,PMO,Cluster restudies
RK_ppa_dahlberg_8_10_materials_GSU transf,ppa_dahlberg_8_10,materials,GSU transformer delays,0.35,120,240,5000000,MS_ppa_dahlberg_8_10_procurement,mitigate,PMO,Long global lead times
RK_ppa_dahlberg_8_10_policy_air permit,ppa_dahlberg_8_10,policy,air permit appeal,0.15,60,120,1000000,MS_ppa_dahlberg_8_10_interconnection,mitigate,PMO,Third-party appeal risk
RK_ppa_dahlberg_8_10_paperwork_interconne,ppa_dahlberg_8_10,paperwork,interconnection study rework,0.25,90,180,500000,MS_ppa_dahlberg_8_10_interconnection,accept,PMO,Cluster restudies
RK_ppa_monroe_1_2_materials_GSU transf,ppa_monroe_1_2,materials,GSU transformer delays,0.35,120,240,5000000,MS_ppa_monroe_1_2_procurement,mitigate,PMO,Long global lead times
RK_ppa_monroe_1_2_policy_air permit,ppa_monroe_1_2,policy,air permit appeal,0.15,60,120,1000000,MS_ppa_monroe_1_2_interconnection,mitigate,PMO,Third-party appeal risk
RK_ppa_monroe_1_2_paperwork_interconne,ppa_monroe_1_2,paperwork,interconnection study rework,0.25,90,180,500000,MS_ppa_monroe_1_2_interconnection,accept,PMO,Cluster restudies
